Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
Industrial production (1950 definition)  [T017]4,"355,639","354,873","354,566","356,539","354,306","355,695","360,413","356,457","353,309","351,898","345,973","333,731","330,602","323,701","314,926","308,378","306,318","305,566","305,203","304,426","310,544","310,444","314,245","312,902","317,519","323,164","326,872","325,455","332,575","334,591","334,379","333,843","331,198","335,140","336,336","342,454","341,208","339,137","343,466","344,764","338,643","341,262","348,002","352,541","354,927","352,235","351,472","355,113","354,235","346,470","347,092","350,250","350,046","348,003","346,639","343,093","341,932","341,843","345,383","343,842","346,766","350,169","351,549","349,701","348,785","347,656","349,575","352,678","356,205","360,732","360,403","356,811","357,512","363,308","365,250","368,995","372,161","375,721","373,271","367,516","373,315","375,224","374,851","376,045","373,295","370,241","368,659","365,711","365,051","366,429","368,887","374,078","366,598","366,488","367,302","367,545","372,203","368,751","365,016","363,483","352,388","361,627","367,827","370,525","373,206","370,273","373,421","379,824","380,992","380,356","381,580","382,275","386,421","386,573","387,208","384,482","386,165","383,369","389,457","392,850","390,767","393,988","398,624","396,028","395,810","398,658","402,193","400,929","400,052","399,355","396,395","393,241","392,772","390,565","394,238","396,071","398,327","396,403","391,404","392,499","390,729","389,117","388,531","388,687"
Public Sector  [T018]4,"308,687","309,515","310,218","311,427","312,389","313,219","314,332","315,620","316,611","317,532","318,025","319,005","320,077","321,155","321,635","322,294","322,969","323,539","323,716","325,028","325,817","326,204","326,765","327,342","328,007","328,165","328,427","328,880","329,477","330,059","330,900","331,294","332,066","332,808","333,228","334,097","334,492","334,089","334,127","334,344","335,372","335,955","336,479","336,663","336,514","336,236","336,578","336,566","336,455","336,972","336,209","337,130","338,161","338,659","339,152","339,485","339,272","339,169","339,733","339,203","339,392","339,213","338,987","338,193","338,413","338,393","338,713","339,337","339,648","340,405","340,914","340,880","341,253","341,521","341,800","341,799","341,823","340,392","342,085","342,366","341,090","342,810","343,244","343,013","344,029","344,862","345,150","345,921","345,203","345,862","346,113","345,056","345,905","346,345","346,447","347,231","348,157","349,136","349,788","350,333","351,365","351,809","351,797","352,181","352,846","352,907","353,162","353,163","353,541","354,447","355,029","355,337","355,906","356,963","357,845","358,950","359,978","359,910","360,594","361,608","362,782","363,445","364,436","365,692","366,944","367,984","368,845","369,794","370,329","371,114","371,714","372,297","373,592","374,281","375,167","375,679","376,571","377,151","377,913","378,618","379,018","379,359","379,918","380,531"
Content and media sector  [T019]4,"14,560","14,645","14,595","14,626","14,664","14,740","14,749","15,109","15,030","14,931","14,863","14,790","15,031","14,913","14,954","14,828","14,745","14,669","14,613","14,458","14,520","14,506","14,520","14,463","14,415","14,523","14,258","14,070","14,043","14,014","13,978","13,880","13,979","14,016","14,094","14,085","13,935","13,974","13,980","14,041","13,953","13,863","13,797","13,781","13,727","13,771","13,725","13,702","13,682","13,808","13,666","13,588","13,587","13,636","13,716","13,914","13,763","13,645","13,641","13,838","13,770","13,709","13,784","13,897","13,962","13,976","14,065","14,200","14,204","14,230","14,281","14,474","14,569","14,691","14,687","14,581","14,757","14,855","14,742","14,743","14,585","14,555","14,558","14,393","14,151","14,023","13,855","13,793","13,628","13,638","13,751","13,759","13,678","13,806","13,762","13,744","13,930","14,011","14,017","14,001","13,999","14,032","14,099","14,469","14,278","14,126","13,999","14,011","14,159","14,186","14,235","14,188","14,255","14,206","14,154","14,068","13,961","13,785","13,680","13,639","13,549","13,834","13,687","13,592","13,701","13,726","13,798","13,680","13,547","13,661","13,629","13,672","13,751","13,688","13,630","13,691","13,700","13,868","13,857","13,835","13,809","13,728","13,770","13,747"
All industries (except cannabis sector)  [T020]4,"1,615,977","1,613,061","1,615,997","1,619,401","1,619,356","1,622,556","1,629,601","1,628,277","1,628,591","1,626,761","1,610,295","1,588,097","1,580,344","1,572,157","1,559,413","1,554,378","1,552,792","1,554,631","1,557,175","1,556,539","1,568,256","1,569,924","1,579,122","1,583,715","1,593,503","1,601,846","1,609,574","1,607,600","1,614,650","1,618,836","1,621,090","1,625,950","1,625,779","1,634,148","1,641,832","1,653,227","1,658,605","1,655,635","1,660,771","1,661,033","1,657,436","1,664,788","1,676,291","1,684,834","1,689,622","1,689,502","1,691,365","1,699,442","1,697,854","1,693,517","1,697,821","1,703,724","1,706,466","1,707,338","1,710,702","1,708,454","1,708,231","1,707,446","1,715,549","1,715,330","1,725,092","1,730,227","1,736,210","1,739,264","1,744,003","1,737,656","1,747,644","1,755,270","1,761,203","1,770,649","1,774,966","1,767,556","1,768,227","1,777,214","1,782,035","1,785,703","1,797,021","1,805,283","1,807,871","1,804,085","1,811,291","1,816,459","1,817,598","1,820,301","1,812,880","1,810,342","1,809,215","1,808,622","1,807,548","1,812,439","1,816,983","1,820,790","1,813,261","1,814,969","1,819,235","1,821,272","1,832,113","1,828,095","1,822,797","1,823,974","1,813,109","1,822,394","1,833,529","1,836,883","1,843,231","1,841,783","1,846,363","1,855,065","1,863,854","1,868,978","1,877,375","1,884,839","1,891,343","1,895,697","1,897,344","1,895,983","1,899,992","1,902,040","1,911,837","1,916,998","1,915,174","1,920,554","1,925,231","1,924,153","1,932,752","1,933,825","1,938,991","1,940,970","1,941,979","1,945,670","1,941,274","1,941,535","1,945,464","1,940,965","1,952,922","1,957,439","1,963,245","1,968,496","1,968,789","1,972,025","1,972,263","1,970,101","1,971,784","1,976,807"
Cannabis sector  [T021]4,"3,691","3,688","3,700","3,700","3,702","3,719","3,726","3,746","3,756","3,780","3,792","3,820","3,849","3,865","3,879","3,905","3,917","3,941","3,951","3,962","3,983","3,991","3,996","4,003","4,007","4,024","4,028","4,031","4,048","4,049","4,065","4,081","4,094","4,096","4,110","4,136","4,148","4,162","4,174","4,188","4,203","4,217","4,217","4,233","4,248","4,266","4,268","4,268","4,267","4,269","4,276","4,312","4,337","4,361","4,401","4,430","4,473","4,519","4,551","4,579","4,608","4,637","4,668","4,701","4,747","4,778","4,811","4,840","4,857","4,888","4,918","4,932","4,948","4,976","4,992","5,025","5,054","5,073","5,107","5,139","5,172","5,210","5,246","5,282","5,287","5,341","5,393","5,415","5,439","5,467","5,488","5,501","5,508","5,504","5,507","5,526","5,540","5,560","5,554","5,544","5,536","5,537","5,544","5,536","5,524","5,509","5,498","5,502","5,533","5,537","5,520","5,503","5,477","5,466","5,469","5,436","5,404","5,350","5,391","5,530","5,723","5,873","5,983","6,041","6,141","6,271","6,444","6,542","6,549","6,525","6,447","6,341","6,329","6,292","6,439","6,724","6,986","7,147","7,242","7,276","7,291","7,265","7,247","7,236"
All industries (except unlicensed cannabis sector)  [T024]4,"1,615,930","1,613,045","1,615,982","1,619,401","1,619,341","1,622,541","1,629,602","1,628,294","1,628,608","1,626,778","1,610,311","1,588,129","1,580,392","1,572,189","1,559,460","1,554,410","1,552,808","1,554,632","1,557,175","1,556,525","1,568,242","1,569,893","1,579,091","1,583,669","1,593,425","1,601,750","1,609,510","1,607,568","1,614,650","1,618,853","1,621,124","1,625,999","1,625,828","1,634,197","1,641,865","1,653,244","1,658,589","1,655,618","1,660,772","1,661,050","1,657,486","1,664,838","1,676,342","1,684,869","1,689,640","1,689,503","1,691,315","1,699,341","1,697,462","1,691,835","1,697,558","1,703,216","1,705,636","1,707,579","1,711,798","1,709,942","1,709,370","1,708,126","1,715,125","1,714,788","1,724,965","1,732,670","1,738,583","1,739,955","1,744,437","1,736,886","1,745,931","1,754,386","1,761,464","1,771,373","1,774,110","1,764,994","1,771,692","1,782,782","1,783,916","1,788,046","1,796,445","1,800,272","1,802,330","1,801,373","1,810,611","1,817,073","1,817,451","1,821,169","1,812,678","1,810,211","1,809,142","1,808,586","1,807,567","1,812,480","1,817,063","1,820,893","1,813,383","1,815,103","1,819,390","1,821,444","1,832,300","1,828,311","1,822,958","1,824,064","1,813,157","1,822,409","1,833,512","1,836,872","1,843,242","1,841,819","1,846,461","1,855,239","1,864,107","1,869,199","1,877,592","1,885,062","1,891,566","1,895,874","1,897,512","1,896,112","1,900,064","1,902,047","1,911,803","1,916,950","1,915,139","1,920,682","1,925,525","1,924,580","1,933,292","1,934,443","1,939,634","1,941,717","1,942,851","1,946,805","1,942,491","1,942,761","1,946,566","1,942,105","1,954,274","1,959,106","1,965,173","1,970,623","1,971,047","1,974,386","1,974,693","1,972,548","1,974,262","1,979,289"
"Agriculture, forestry, fishing and hunting  [11]","30,845","31,502","32,081","32,573","32,314","32,520","33,115","33,356","33,463","33,786","33,396","32,776","32,856","32,602","31,875","31,306","30,160","30,129","30,330","30,002","30,418","30,531","30,887","30,725","30,917","31,188","31,143","31,278","31,258","31,280","31,554","31,463","31,576","31,500","31,560","31,952","32,311","32,402","32,837","32,892","32,767","32,487","32,391","32,817","32,776","32,756","32,856","32,772","32,185","32,125","31,869","32,173","32,215","32,530","32,972","33,317","33,517","34,028","34,681","35,553","36,414","37,156","37,805","38,279","38,811","39,076","39,657","40,033","40,028","39,728","39,267","38,780","37,339","36,775","36,622","36,471","36,177","36,012","35,905","35,516","35,407","35,730","35,866","36,221","36,462","36,916","37,002","37,399","37,578","37,578","37,808","37,965","38,245","38,516","38,532","38,939","39,052","38,822","38,865","38,827","38,979","39,223","39,419","39,457","39,715","39,886","39,704","39,627","39,781","39,951","40,104","39,842","39,872","39,662","39,890","39,795","39,682","39,504","39,697","39,664","39,758","40,016","39,994","40,399","40,585","40,503","40,361","40,295","40,112","39,989","40,091","40,081","40,242","40,103","40,056","40,072","40,512","40,815","40,680","40,640","40,386","40,257","40,104","40,072"
"Mining, quarrying, and oil and gas extraction  [21]","121,234","119,650","121,653","121,278","118,910","120,976","124,335","123,382","121,099","122,198","120,040","116,005","119,423","115,122","108,572","105,094","105,609","106,509","105,211","103,136","107,004","106,990","108,459","107,212","110,658","114,089","115,602","115,052","120,856","120,104","119,871","119,437","117,543","121,711","123,293","126,183","123,252","122,685","125,441","126,407","121,714","123,772","127,540","132,048","132,196","130,051","129,012","129,345","129,138","125,755","125,519","126,797","126,683","124,417","122,249","119,990","121,286","122,230","124,377","125,871","127,027","130,219","130,849","130,013","128,811","127,594","129,776","132,011","133,014","134,586","134,663","133,893","134,845","137,679","140,587","143,736","143,936","145,679","142,219","138,717","142,654","143,935","144,089","142,336","142,194","139,396","134,151","131,970","132,419","137,540","141,167","142,741","136,677","138,176","138,247","138,718","139,413","136,631","133,257","130,354","120,297","127,256","136,267","136,563","139,659","141,410","144,163","146,814","149,611","147,547","145,325","146,659","148,418","146,394","149,203","148,426","147,922","143,872","145,152","149,695","147,985","153,277","157,747","155,852","159,385","157,428","159,629","158,614","156,798","153,365","150,755","149,357","144,904","142,055","146,568","153,215","151,616","153,775","146,627","146,488","145,643","146,359","144,134","146,111"
Utilities  [22],"38,813","39,584","39,767","39,936","39,746","39,662","39,602","39,740","39,571","39,227","38,718","38,638","38,752","37,845","37,804","37,282","36,992","36,968","36,431","36,845","37,326","38,018","37,727","38,297","38,299","38,215","37,685","37,001","37,348","37,823","37,874","37,886","38,329","38,250","38,802","39,209","39,451","39,393","39,569","39,805","39,679","39,444","39,546","39,532","39,742","38,969","38,366","38,608","39,037","37,965","37,930","38,501","38,887","39,046","39,846","39,508","39,037","39,661","39,495","38,523","38,618","38,217","38,157","38,372","38,605","38,843","38,908","38,768","38,966","39,635","39,878","40,997","40,047","40,175","40,415","40,137","40,112","40,245","39,895","39,994","40,340","40,545","41,409","40,802","40,986","42,136","42,123","41,355","40,799","40,764","40,253","40,186","39,793","39,240","39,660","39,161","40,344","40,839","40,511","41,575","40,393","41,799","41,801","43,169","42,272","41,941","40,396","42,084","41,643","41,501","42,419","41,521","42,390","42,217","42,325","42,166","43,032","42,344","43,008","44,054","43,711","42,268","42,474","42,931","42,777","42,886","43,788","43,969","43,425","44,072","44,060","43,059","43,472","44,206","43,707","43,592","43,619","43,839","43,951","43,396","43,155","43,218","43,872","43,385"
Construction  [23],"118,962","119,182","118,819","117,573","119,122","118,573","118,538","118,386","118,991","119,758","118,150","115,635","111,861","110,437","109,072","108,412","109,201","109,358","109,659","110,555","111,795","112,847","115,036","116,131","118,155","118,730","119,200","119,685","119,406","120,033","120,249","121,034","121,329","121,772","122,141","122,392","123,624","124,028","123,399","123,094","122,867","124,160","125,023","125,842","126,420","126,573","127,166","128,389","129,507","130,927","132,459","134,521","134,567","134,824","135,269","135,863","136,553","137,854","138,310","138,854","138,864","139,548","140,401","141,361","141,927","138,493","141,421","141,859","141,460","141,897","142,083","140,646","141,846","142,671","142,190","141,726","143,674","144,438","145,575","145,085","145,619","147,395","147,533","146,896","145,234","143,601","141,845","141,345","142,155","141,315","140,963","141,100","139,740","139,315","139,174","138,325","137,737","136,841","135,621","135,402","133,635","132,430","132,955","132,311","133,224","133,563","134,221","134,836","135,714","136,753","137,215","139,132","137,678","139,926","140,912","141,225","142,757","144,173","144,546","144,013","143,390","144,774","144,603","143,827","144,289","143,101","141,843","140,768","139,805","139,051","138,464","138,297","139,099","138,766","139,819","138,888","140,104","142,173","142,597","143,391","142,752","142,264","142,383","142,407"
Manufacturing  [31-33],"196,215","196,824","193,480","196,153","197,185","195,970","196,741","193,416","193,253","190,432","187,226","178,949","172,558","170,725","168,195","165,576","163,496","162,048","163,408","164,107","166,067","165,293","167,905","167,119","168,851","171,080","173,755","173,535","174,400","176,689","176,632","176,502","175,308","175,096","174,129","176,929","178,617","177,148","178,400","178,432","177,433","178,079","180,771","180,439","182,532","182,875","183,818","186,974","186,133","182,802","183,681","184,979","184,490","184,541","184,533","183,573","181,580","179,912","181,464","179,392","181,103","181,675","182,490","181,254","181,320","181,182","180,812","181,814","184,168","186,463","185,805","181,798","182,671","185,479","184,058","184,774","187,843","189,457","190,997","188,668","189,933","190,192","188,612","192,283","190,061","187,983","189,846","189,441","189,170","187,252","187,659","191,195","188,907","188,461","188,674","189,099","191,556","189,685","188,718","187,914","185,279","187,786","188,129","188,810","190,281","187,284","189,972","192,130","192,080","192,778","194,032","194,800","196,406","197,777","196,709","195,040","195,817","196,341","200,001","199,343","198,876","200,182","201,421","199,835","197,955","201,210","202,047","201,364","202,144","202,726","201,682","200,830","202,377","201,329","202,469","200,594","203,261","200,324","199,869","201,398","200,633","198,873","198,903","198,480"
Wholesale trade  [41],"82,618","81,557","82,410","82,128","82,581","83,168","83,502","83,083","82,900","81,936","79,762","77,308","75,887","75,513","74,896","74,841","75,264","75,442","76,244","76,484","76,517","76,872","78,281","79,754","80,761","80,248","80,889","80,841","80,886","81,594","80,713","82,297","82,634","83,287","84,570","86,156","87,509","86,214","87,149","86,182","87,174","86,826","89,277","88,568","88,887","90,024","90,094","90,785","89,082","90,166","91,217","91,626","91,169","91,387","91,739","91,718","91,611","91,010","92,887","92,072","93,160","93,876","93,821","94,232","95,033","93,314","95,974","95,828","96,494","97,048","97,334","95,842","95,290","96,644","96,864","96,568","98,133","98,726","98,237","98,957","100,231","97,589","96,827","97,110","95,506","95,067","94,710","95,612","94,607","95,027","94,061","93,040","92,881","93,137","94,204","95,080","96,070","93,229","92,516","93,370","93,525","93,881","94,565","94,094","94,101","94,889","94,684","96,112","96,909","97,355","98,815","98,779","98,947","98,880","99,359","99,241","98,659","99,792","100,532","100,240","100,743","99,673","99,447","99,319","100,315","98,569","100,235","100,139","99,579","100,766","99,374","98,937","99,568","99,637","101,602","103,241","101,978","103,392","104,504","102,678","103,738","102,488","102,163","102,795"
Retail trade  [44-45],"84,804","84,081","84,219","84,508","84,452","84,771","84,407","84,528","85,196","84,352","82,548","80,420","81,858","81,711","81,485","81,468","81,846","82,007","82,131","82,172","82,656","82,559","81,221","82,574","83,816","83,846","85,589","83,638","83,327","83,907","84,132","84,519","84,520","84,173","85,560","85,138","84,942","84,956","83,773","84,696","84,705","85,791","85,001","84,865","85,033","85,538","85,461","86,749","85,501","84,926","85,471","84,626","85,223","85,441","85,834","85,316","85,280","85,557","86,761","86,556","88,519","88,154","88,496","89,349","90,878","89,849","90,611","91,612","91,197","91,519","91,929","91,596","91,699","91,828","91,707","90,812","90,649","91,291","91,728","91,297","91,104","90,793","91,199","91,203","89,267","90,087","90,872","90,290","90,146","90,935","91,385","91,551","92,280","91,514","93,142","92,427","93,825","95,154","93,730","94,102","93,436","93,314","94,152","94,453","95,257","95,376","96,348","96,449","98,396","98,358","99,252","99,927","100,382","100,877","100,516","100,077","99,623","102,203","101,669","100,760","100,348","100,173","100,466","99,692","102,705","101,765","101,522","102,036","102,437","102,485","101,706","102,161","101,893","102,290","102,853","102,768","102,046","102,726","102,838","102,910","102,929","101,672","102,345","102,743"
Transportation and warehousing  [48-49],"67,652","67,646","67,644","67,767","67,972","68,180","68,390","68,069","68,136","68,136","67,791","66,540","65,665","65,489","64,667","65,086","64,348","64,951","65,456","64,738","65,642","65,843","66,004","66,443","66,649","67,228","67,809","67,418","67,620","67,914","68,393","68,393","67,748","68,139","67,995","69,027","70,661","70,073","70,559","69,842","69,888","68,688","70,799","70,953","70,988","70,997","71,069","71,304","71,510","71,037","71,190","71,472","71,361","71,842","71,479","71,861","71,803","70,955","71,394","71,232","71,268","71,560","72,375","72,997","72,419","71,745","71,086","71,988","73,207","74,477","75,127","74,223","74,676","75,483","76,169","75,884","77,678","78,129","77,802","77,409","77,783","77,700","77,408","78,599","78,073","77,595","78,242","78,276","78,392","78,924","79,563","79,983","79,674","79,629","80,452","80,337","80,526","80,601","80,062","79,702","79,922","80,139","80,771","81,769","81,855","81,896","82,070","82,483","83,488","83,534","84,041","84,973","85,341","85,991","85,184","85,426","85,910","85,227","86,025","86,240","86,351","86,852","87,106","87,068","87,471","87,668","88,371","88,154","88,946","88,718","88,147","88,676","89,181","87,213","88,718","89,004","89,975","89,727","89,319","89,224","88,503","88,997","88,324","89,638"
Information and cultural industries  [51],"52,951","53,086","52,996","52,968","52,994","53,022","52,999","53,450","53,448","53,188","52,845","52,581","53,172","52,867","52,653","52,412","52,227","52,192","52,064","51,813","52,015","52,175","52,333","52,517","52,693","53,014","53,040","53,029","53,030","53,242","53,561","53,535","53,819","54,028","54,349","54,421","54,252","54,153","54,264","54,256","54,237","54,186","54,094","54,199","54,226","54,245","54,252","54,253","54,430","54,653","54,567","54,602","54,685","54,752","55,013","55,196","54,931","54,569","54,347","54,379","54,296","53,989","53,971","54,089","54,143","54,172","54,260","54,399","54,479","54,652","54,859","55,227","55,255","55,340","55,501","55,409","55,782","56,183","56,380","56,588","56,491","56,676","56,972","56,983","56,605","56,667","56,732","56,908","56,834","57,121","57,393","57,504","57,512","57,907","58,061","58,236","58,543","58,783","58,907","58,999","59,144","59,393","59,666","60,159","60,041","59,934","59,974","60,133","60,630","60,828","61,027","61,140","61,447","61,497","61,413","61,425","61,435","61,317","61,386","61,551","61,664","62,145","62,179","62,176","62,358","62,457","62,663","62,776","62,741","62,966","62,947","63,000","63,438","63,463","63,434","63,694","63,880","64,159","64,261","64,411","64,467","64,689","64,825","65,006"
Finance and insurance  [52],"100,159","98,895","99,679","99,674","98,405","98,054","97,994","97,498","98,123","99,489","97,191","97,273","97,119","97,064","97,469","97,780","97,385","97,451","97,560","96,869","97,999","97,608","98,374","97,984","97,650","97,196","98,138","98,578","99,501","98,792","99,464","100,352","100,644","101,225","102,083","102,523","102,815","102,948","102,867","102,352","102,403","103,330","102,525","104,616","103,735","103,551","103,148","102,443","103,348","103,651","103,932","103,093","104,860","105,184","105,598","105,694","106,132","105,605","105,257","106,554","106,141","106,444","107,172","108,207","109,055","109,506","110,130","109,470","108,788","109,395","110,494","110,234","110,069","109,598","109,537","109,932","109,962","110,791","111,357","112,163","113,412","114,947","114,589","115,411","116,472","116,872","117,083","116,624","116,093","116,698","118,112","118,249","117,928","118,032","117,453","117,540","120,042","119,630","120,046","120,962","120,136","120,796","122,365","122,360","122,780","122,368","122,842","122,293","121,744","122,798","124,113","125,144","127,224","127,088","125,967","124,968","124,740","124,981","125,820","126,517","126,416","126,680","125,525","125,936","126,893","126,819","126,174","127,939","128,358","129,918","129,195","129,463","129,570","128,393","129,992","130,119","130,568","130,768","131,186","131,950","132,128","132,330","132,870","133,812"
Real estate and rental and leasing  [53],"185,173","185,079","185,306","185,628","185,912","186,326","186,639","187,222","187,955","186,622","185,802","185,892","185,659","186,520","187,160","188,965","190,674","192,002","192,745","192,867","193,346","194,428","194,875","195,985","196,240","196,345","196,690","197,572","196,718","196,317","196,130","197,109","197,753","198,661","199,597","200,247","201,536","201,884","202,045","201,736","201,823","202,599","203,309","204,005","204,891","205,692","206,532","207,614","208,046","208,747","209,140","209,850","209,504","209,604","210,189","210,089","210,889","211,391","211,646","212,105","213,069","213,324","214,055","214,538","215,023","215,852","216,402","217,010","217,484","217,743","218,131","218,541","218,547","218,912","219,427","219,971","221,327","222,041","222,857","223,424","223,774","224,231","224,778","224,879","224,881","225,661","226,434","227,385","228,561","228,951","229,246","229,716","229,712","230,391","230,944","231,546","231,975","232,774","233,250","233,814","233,985","234,404","234,548","234,434","234,628","235,537","235,278","236,385","237,008","238,662","239,636","239,831","239,618","239,235","239,462","239,858","240,634","241,317","242,306","243,729","242,305","241,987","242,425","243,105","243,229","244,223","244,771","245,434","245,852","246,130","246,343","246,552","247,493","247,076","247,924","248,577","249,845","250,497","251,529","252,307","252,974","253,452","253,994","254,440"
"Professional, scientific and technical services  [54]","90,759","91,070","91,276","91,600","91,914","92,209","92,202","93,071","93,258","92,729","91,942","91,500","91,521","91,228","90,152","90,012","89,706","89,573","89,313","89,110","88,790","88,704","88,948","88,634","88,857","88,850","89,204","89,328","89,105","89,253","89,908","89,782","90,048","90,584","91,075","91,666","92,199","92,676","92,966","93,001","93,330","94,104","94,060","94,566","95,121","95,609","95,992","96,378","96,223","96,322","96,177","96,355","96,503","96,543","97,257","97,328","97,343","97,147","96,930","97,292","97,587","97,473","97,860","98,341","98,955","99,099","99,162","99,660","100,640","100,848","101,378","101,821","101,424","101,875","102,645","103,285","103,739","105,093","106,169","106,447","105,944","105,750","106,201","105,632","105,125","104,696","104,312","104,044","103,884","103,671","103,673","103,950","103,651","103,971","104,325","104,666","105,300","105,379","105,851","105,968","106,361","106,357","106,743","106,830","107,316","107,476","107,480","107,575","107,710","108,408","108,782","109,215","109,714","109,354","109,803","109,892","110,146","109,877","110,328","110,999","111,064","111,528","111,904","112,253","112,449","112,628","112,972","113,422","113,759","114,379","114,835","115,587","115,792","115,946","116,032","116,638","116,921","117,528","118,424","119,199","119,677","120,001","120,533","120,550"
Management of companies and enterprises  [55],"11,238","11,350","11,473","11,545","11,622","11,677","11,707","11,839","11,904","12,061","12,158","12,283","12,286","12,097","11,999","11,921","11,812","11,715","11,632","11,494","11,435","11,412","11,347","11,358","11,273","11,242","11,316","11,211","11,173","11,170","11,261","11,324","11,408","11,362","11,396","11,345","11,352","11,357","11,357","11,389","11,456","11,606","11,540","11,501","11,461","11,395","11,348","11,304","11,407","11,493","11,601","11,475","11,428","11,380","11,421","11,442","11,468","11,421","11,421","11,371","11,695","11,832","12,051","12,258","12,356","12,442","12,431","12,415","12,371","12,293","12,151","11,961","11,728","11,533","11,410","11,291","11,237","11,245","11,257","11,255","11,205","11,254","11,408","11,497","11,774","11,882","11,931","12,031","12,055","12,079","12,022","11,910","11,795","11,659","11,492","11,330","10,988","10,712","10,373","10,237","10,094","9,974","9,931","9,881","9,827","9,760","9,774","9,769","9,668","9,646","9,613","9,611","9,630","9,615","9,564","9,523","9,434","9,410","9,364","9,390","9,386","9,424","9,456","9,443","9,436","9,404","9,424","9,456","9,493","9,485","9,506","9,499","9,462","9,421","9,358","9,361","9,350","9,370","9,348","9,337","9,338","9,287","9,336","9,329"
"Administrative and support, waste management and remediation services  [56]","47,063","46,921","46,815","46,584","46,465","46,263","46,133","46,234","46,118","45,957","45,580","45,251","45,534","45,142","44,749","44,398","44,183","43,977","43,796","43,564","43,722","43,784","43,880","44,104","44,192","44,513","44,675","44,797","44,818","44,977","45,297","45,299","45,397","45,439","45,495","45,473","45,370","45,274","45,298","45,250","45,239","45,495","45,530","45,634","45,786","45,894","46,207","46,569","46,911","47,129","47,233","47,561","47,817","47,914","48,273","48,367","48,284","48,143","48,065","47,915","47,981","47,716","47,684","47,655","47,803","47,852","47,911","48,081","48,218","48,656","48,977","49,146","49,021","49,083","49,355","49,547","49,934","50,272","50,358","50,528","50,478","50,623","50,701","50,688","50,742","50,860","50,817","50,755","50,759","50,812","51,014","51,057","51,112","51,327","51,291","51,238","51,223","51,279","51,220","51,118","50,932","50,863","50,945","50,921","50,882","50,690","50,660","50,907","51,042","51,056","51,092","51,122","51,454","51,578","51,535","51,519","51,169","50,793","50,470","50,454","50,794","50,846","50,876","51,170","51,240","51,352","51,381","51,423","51,661","51,969","52,358","52,078","52,080","52,085","52,005","51,809","51,812","51,838","52,092","52,172","52,370","52,475","52,591","52,618"
Educational services  [61],"87,009","87,228","87,420","87,680","87,934","88,025","88,311","88,674","88,700","88,742","88,599","88,732","88,722","89,050","88,973","89,053","89,071","89,159","89,319","89,467","89,700","89,952","90,155","90,394","90,536","90,600","90,760","90,738","91,026","91,130","91,294","91,307","91,399","91,550","91,684","91,969","91,878","91,845","91,603","91,537","91,719","91,802","92,127","92,232","92,025","92,023","92,112","92,223","92,217","92,639","92,344","92,790","93,493","93,959","94,297","94,418","94,503","94,601","94,650","94,549","94,782","95,071","95,114","94,703","94,827","94,515","94,585","95,001","95,327","95,792","95,931","95,696","96,183","96,316","96,453","96,558","96,294","94,596","96,212","96,615","95,507","97,398","97,769","97,523","98,073","98,210","97,985","98,289","97,571","98,036","97,865","96,722","97,378","97,133","97,024","97,394","97,561","97,813","98,076","98,167","98,232","98,211","98,105","98,108","98,458","98,647","98,775","98,775","98,473","98,747","98,818","98,898","99,002","99,245","99,289","99,648","100,070","99,986","100,331","100,893","101,265","101,354","101,573","101,886","102,071","102,261","102,349","102,512","102,654","102,694","102,811","102,886","103,188","103,430","103,928","104,061","104,151","104,189","104,532","104,618","104,961","104,873","105,062","104,915"
