Date,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec
Total generation,"59,082,501","55,885,424","55,068,839","48,248,631","45,495,615","44,966,961","49,424,948","48,066,719","43,684,551","46,570,962","48,214,813","56,568,724","59,539,341","51,232,146","52,223,235","44,174,117","43,092,495","42,537,244","44,943,777","46,021,395","42,530,088","47,357,167","46,814,279","57,035,235","58,679,092","51,859,976","51,129,869","44,237,908","42,653,259","42,534,130","45,298,282","43,655,176","39,913,848","42,988,948","47,537,822","56,271,377","58,717,825","52,013,676","53,713,281","46,647,271","45,489,643","43,112,968","47,874,247","47,165,459","43,300,252","45,060,611","47,515,941","54,839,638","58,104,035","51,934,746","51,614,413","46,417,982","45,932,634","44,614,478","48,825,024","48,144,767","43,676,149","48,163,383","51,625,924","55,821,469","59,931,424","53,351,007","54,263,640","48,104,442","46,197,094","45,784,142","48,848,397","48,397,125","44,729,414","47,727,959","52,969,116","60,400,808","60,251,049r","53,553,403r","55,854,771r","47,648,737r","45,241,004r","44,156,323r","46,718,490r","47,448,094r","44,715,421r","45,033,527r","51,679,130","57,625,402","60,976,764r","55,306,305r","55,274,560r","47,738,184r","44,559,705r","44,340,191r","46,765,949r","46,555,243r","43,653,195r","44,733,343r","48,985,388r","53,866,923","64,228,215","57,932,188","57,108,230","49,984,993","47,876,205","48,570,853","51,862,903","52,360,113","48,218,628","50,292,133","54,378,537","63,478,977","64,336,790","56,478,939","60,362,690","50,661,308","48,775,704","47,909,090","51,917,093","52,051,624","48,600,320","48,302,177","55,609,066","64,374,045","64,642,732","55,620,202","57,207,806","50,031,270","48,069,188","46,988,668","52,651,949","52,023,757","47,146,162","50,360,713","55,582,816","61,146,016","65,004,816","58,953,750","58,035,343","49,245,084","47,648,024","46,090,104","51,665,262","50,141,218","46,658,323","48,748,723","56,153,835","62,153,050"
Total receipts,"1,391,169","1,411,545","2,003,497","1,915,680","2,809,124","3,464,696","2,053,489","1,381,673","1,841,723","2,003,055","2,047,542","1,569,298","2,439,724","1,559,257","1,673,849","1,451,687","1,350,757","1,557,408","1,446,128","1,350,557","1,356,274","1,318,493","1,251,268","1,516,945","1,204,844","1,012,372","1,294,529","1,263,209","1,721,865","1,515,995","1,418,305","1,806,949","2,356,975","2,097,231","1,744,539","1,216,150","1,560,658","1,490,752","1,505,577","1,567,236","1,221,910","1,243,839","1,145,486","909,230","981,278","905,612","1,094,044","922,171","900,778","838,173","1,164,406","1,220,108","1,106,350","1,148,079","917,393","756,043","832,463","704,450","765,585","1,038,440","981,973","788,236","894,360","1,191,649","901,011","722,220","926,856","791,665","668,991","914,856","846,985","1,055,892","1,246,040","1,256,663","1,901,031","1,300,754","1,132,256","1,008,558","993,624","826,275","729,600","731,940","907,413","783,652","782,742","1,322,142","910,845","552,064","576,268","593,855","614,025","623,946","675,607","606,010","628,022","772,454","642,535","902,686","1,019,378","916,497","729,137","595,788","670,783","794,782","838,256","816,614","681,729","699,562","526,476","839,878","1,229,542","1,287,565","1,214,448","1,066,151","582,585","500,447","554,605","664,256","685,068","749,538","1,384,450","1,428,065","1,264,413","1,467,969","1,097,560","1,008,342","675,781","721,028","878,640","901,776","1,325,400","1,034,086","1,164,727","924,767","1,568,025","1,452,073","1,245,999","967,197","1,353,045","1,144,311","1,256,103","877,958","735,617","659,241"
Total deliveries,"4,627,072","4,382,286","4,299,961","4,753,023","5,177,177","6,086,379","6,678,709","5,771,333","4,057,785","3,546,700","3,202,837","3,380,412","3,915,052","3,521,688","3,645,506","3,281,888","4,104,792","4,744,612","5,483,183","5,829,371","4,450,843","4,676,678","3,785,893","4,541,894","5,237,709","4,404,253","4,471,359","3,842,622","3,003,123","3,878,827","4,262,417","3,591,530","2,842,323","2,402,668","2,562,892","3,873,172","4,241,323","3,672,338","3,955,549","3,788,001","4,846,651","4,441,849","5,960,986","5,521,981","4,000,875","3,577,903","3,333,021","4,115,586","4,078,760","3,477,900","4,111,313","4,922,529","5,396,483","5,327,151","6,601,002","6,273,071","4,819,873","4,272,844","4,531,716","4,221,758","4,829,242","4,521,790","5,037,927","4,558,312","5,434,880","5,700,809","6,315,272","6,428,513","5,115,295","4,763,841","4,668,125","4,780,263","4,853,466","3,813,088","4,984,556","4,191,107","4,792,665","4,885,078","5,696,365","6,067,686","5,429,566","3,823,724","4,902,228","5,355,157","5,424,706","4,953,426","6,012,486","5,785,970","5,920,650","5,925,959","6,121,143","6,179,551","5,834,924","4,580,981","5,168,630","5,188,578","6,307,164","5,393,961","5,737,196","4,607,409","5,599,463","6,621,259","7,479,559","7,156,102","6,062,372","5,403,364","6,209,808","6,514,317","6,574,931","5,448,617","6,054,175","5,974,281","5,777,271","6,537,158","7,033,788","7,492,193","6,240,468","4,689,567","4,872,038","5,346,395","5,470,141","4,622,575","5,412,184","4,168,817","5,602,466","5,445,204","6,559,876","5,885,475","4,651,239","4,209,028","4,577,744","5,107,617","4,937,229","4,534,186","4,444,870","3,837,512","4,495,368","4,863,720","6,225,756","6,497,672","5,977,119","3,805,873","5,279,266","5,442,657"
Total electricity available for use within specific geographic border,"55,846,598","52,914,683","52,772,375","45,411,288","43,127,562","42,345,278","44,799,728","43,677,059","41,468,489","45,027,317","47,059,518","54,757,610","58,064,013","49,269,715","50,251,578","42,343,916","40,338,460","39,350,040","40,906,722","41,542,581","39,435,519","43,998,982","44,279,654","54,010,286","54,646,227","48,468,095","47,953,039","41,658,495","41,372,001","40,171,298","42,454,170","41,870,595","39,428,500","42,683,511","46,719,469","53,614,355","56,037,160","49,832,090","51,263,309","44,426,506","41,864,902","39,914,958","43,058,747","42,552,708","40,280,655","42,388,320","45,276,964","51,646,223","54,926,053","49,295,019","48,667,506","42,715,561","41,642,501","40,435,406","43,141,415","42,627,739","39,688,739","44,594,989","47,859,793","52,638,151","56,084,155","49,617,453","50,120,073","44,737,779","41,663,225","40,805,553","43,459,981","42,760,277","40,283,110","43,878,974","49,147,976","56,676,437","56,643,623r","50,996,978r","52,771,246r","44,758,384r","41,580,595r","40,279,803r","42,015,749r","42,206,683r","40,015,455r","41,941,743r","47,684,315","53,053,897","56,334,800r","51,675,021r","50,172,919r","42,504,278r","39,215,323r","39,008,087r","41,258,831r","40,999,638r","38,493,878r","40,758,372r","44,444,780r","49,450,799","58,563,586","53,440,913","52,390,412","46,294,081","43,005,879","42,545,382","45,054,127","45,998,793","42,994,512","45,705,383","48,850,458","57,664,222","58,288,335","51,870,200","55,538,057","45,974,592","44,212,881","42,438,083","45,465,890","45,059,878","42,914,457","44,276,866","51,422,096","59,777,188","60,557,041","52,425,692","53,060,035","47,330,422","43,564,282","42,551,806","46,767,854","46,859,310","43,373,563","47,053,461","52,330,472","57,072,485","61,232,314","55,273,400","55,158,498","46,859,645","44,398,655","42,193,581","46,792,551","44,787,857","41,937,307","45,820,809","51,610,186","57,369,634"
